suburb,type,price,Method,Date,Distance,Postcode,bedrooms,bathrooms,car,Landsize
Avondale Heights,h,801000,S,28/10/2017,9.5,3034,3,2,18,580
Westmeadows,h,1100000,S,3/03/2018,16.5,3049,4,2,11,1273
Bayswater,h,925000,SP,17/06/2017,23.2,3153,4,1,10,993
Dandenong,h,880000,S,22/07/2017,24.7,3175,3,2,10,734
Knoxfield,h,704000,S,26/08/2017,23.3,3180,4,2,10,
Diamond Creek,h,588000,S,6/01/2018,21.8,3089,3,1,10,558
Wyndham Vale,h,416000,S,6/01/2018,27.2,3024,3,1,10,
Surrey Hills,h,2100000,VB,1/07/2017,10.2,3127,3,1,9,841
Camberwell,h,2650000,PI,17/02/2018,7.7,3124,4,2,9,791
Avondale Heights,h,850000,SP,25/02/2017,10.5,3034,3,2,8,585
Glenroy,h,1000000,PI,27/11/2016,13,3046,4,2,8,977
Maribyrnong,h,1900000,VB,17/09/2016,8.7,3032,4,3,8,865
Northcote,h,3850000,PI,30/07/2016,5.5,3070,4,4,8,1390
Northcote,h,1822000,S,13/05/2017,5.5,3070,4,1,8,728
Endeavour Hills,h,580000,S,29/07/2017,28.5,3802,3,1,8,665
Craigieburn,h,505000,S,3/09/2017,20.6,3064,4,2,8,406
Highett,h,1450000,S,3/09/2017,16,3190,3,2,8,
Sandringham,h,1725000,S,9/09/2017,15.2,3191,3,1,8,493
Bayswater North,h,800000,S,23/09/2017,23.2,3153,3,2,8,931
Bentleigh East,u,905000,SP,26/08/2017,13.8,3165,3,2,8,
Coburg,h,990000,S,14/10/2017,6.7,3058,3,1,8,502
Elwood,u,620000,SP,28/10/2017,7.2,3184,2,1,8,
Clifton Hill,h,942500,S,18/11/2017,3.6,3068,3,3,8,
Eynesbury,h,700000,SP,25/11/2017,29.8,3338,4,2,8,
Bayswater,u,652000,S,6/01/2018,23.2,3153,2,1,8,410
Blackburn North,h,1030000,S,9/12/2017,13.4,3130,3,2,8,568
Balwyn,h,4000000,VB,3/12/2016,9.7,3103,6,4,7,2051
Hawthorn,h,2610000,S,10/09/2016,4.6,3122,4,2,7,0
Albion,u,560000,S,25/02/2017,13.9,3020,3,2,7,420
Keilor Park,h,820500,S,18/03/2017,14.5,3042,4,2,7,754
Newport,h,1820000,SP,13/05/2017,8.4,3015,5,2,7,760
Richmond,h,3000000,VB,20/05/2017,2.6,3121,3,2,7,230
Mulgrave,h,1001000,SP,12/08/2017,18.8,3170,4,2,7,771
Coburg,h,920000,S,7/10/2017,6.7,3058,2,1,7,
Greensborough,h,717500,S,7/10/2017,16.1,3088,3,1,7,594
Seaford,h,790000,SP,7/10/2017,35.4,3198,3,1,7,630
Highett,h,1563000,S,28/10/2017,16,3190,4,2,7,611
McKinnon,u,651000,PI,28/10/2017,11.4,3204,2,1,7,
South Yarra,h,1350000,S,28/10/2017,2.7,3141,2,1,7,127
South Yarra,h,2400000,S,28/10/2017,2.7,3141,3,2,7,343
Epping,h,652000,S,11/11/2017,19.6,3076,4,2,7,568
Epping,h,584000,S,11/11/2017,19.6,3076,3,1,7,598
Patterson Lakes,h,975000,PI,17/03/2018,31.2,3197,4,2,7,460
Bulleen,t,1150000,PI,24/02/2018,10.8,3105,4,2,7,299
Airport West,h,895000,PI,10/09/2016,13.5,3042,3,1,6,1063
Altona,h,1780000,SP,4/06/2016,13.8,3018,4,3,6,1057
Altona North,h,1085000,S,3/09/2016,11.1,3025,5,3,6,592
Balwyn,h,3900000,PI,28/08/2016,9.7,3103,5,7,6,0
Balwyn North,h,1900000,VB,22/05/2016,9.2,3104,6,1,6,691
Bentleigh East,h,1110000,S,25/02/2017,13.9,3165,3,1,6,542
Brighton,h,3180000,S,10/12/2016,11.2,3186,4,3,6,454
Brunswick,h,1260000,S,18/03/2017,5.2,3056,3,1,6,563
Essendon,h,2800000,PI,8/10/2016,8,3040,5,4,6,877
Mont Albert,h,3900000,PI,25/02/2017,11.8,3127,4,2,6,2187
Oakleigh South,h,1900000,S,18/03/2017,14.7,3167,6,2,6,1200
Reservoir,h,1700000,PI,18/03/2017,11.2,3073,2,1,6,1041
Reservoir,h,718500,S,28/05/2016,11.2,3073,3,1,6,807
Sunshine North,h,1190000,S,19/11/2016,13.3,3020,2,1,6,968
Sunshine West,h,615000,S,3/12/2016,13.5,3020,3,2,6,667
Sunshine West,h,750500,S,28/08/2016,13.5,3020,3,2,6,805
Sunshine West,h,451000,S,30/07/2016,13.5,3020,3,1,6,655
Murrumbeena,h,1355000,S,12/11/2016,12.1,3163,3,1,6,612
West Footscray,h,1415000,PI,4/02/2016,8.2,3012,3,1,6,970
Seaholme,h,1415000,S,17/09/2016,12.7,3018,5,3,6,705
Newport,h,1100000,PI,29/04/2017,8.4,3015,3,1,6,761
Sunshine,h,990000,S,8/04/2017,12.6,3020,4,1,6,654
Moorabbin,h,1175000,PI,1/07/2017,14.3,3189,3,2,6,650
Oakleigh East,h,1525000,S,1/07/2017,12.3,3166,5,3,6,774
Tullamarine,h,821000,S,1/07/2017,12.9,3043,4,1,6,763
Yarraville,h,1240000,VB,1/07/2017,6.3,3013,3,3,6,668
Seaholme,h,1360000,S,3/06/2017,11,3018,3,2,6,663
Strathmore,h,1780000,S,3/06/2017,8.2,3041,5,3,6,699
Sunbury,h,455000,SP,17/06/2017,31.7,3429,3,1,6,639
Aberfeldie,h,1210000,S,24/06/2017,7.5,3040,3,1,6,645
Essendon,h,1980000,S,27/05/2017,7.5,3040,2,1,6,856
Glenroy,h,963500,S,27/05/2017,11.2,3046,3,2,6,697
Hadfield,h,870000,S,27/05/2017,11.2,3046,3,1,6,700
St Albans,h,600000,VB,8/07/2017,14,3021,3,2,6,532
St Albans,h,730000,S,8/07/2017,14,3021,3,1,6,609
Craigieburn,h,716000,SP,12/08/2017,20.6,3064,3,2,6,1005
Yarraville,h,1100000,PI,12/08/2017,6.3,3013,3,1,6,732
Yarraville,h,1400000,S,15/07/2017,6.3,3013,3,3,6,668
Aberfeldie,h,2050000,SP,22/07/2017,7.5,3040,3,2,6,402
Brunswick,h,1790000,S,22/07/2017,5.2,3056,4,3,6,733
Deer Park,h,572000,S,22/07/2017,14.8,3023,3,3,6,585
Langwarrin,h,900000,S,22/07/2017,41,3910,4,2,6,2026
Taylors Lakes,h,800000,VB,22/07/2017,15.5,3038,4,3,6,876
Port Melbourne,u,820000,SP,3/09/2017,3.5,3207,2,2,6,4604
Sunshine West,h,713500,S,3/09/2017,10.5,3020,3,1,6,520
Ascot Vale,u,870000,SP,9/09/2017,4.3,3032,3,2,6,3215
Collingwood,u,1250000,SP,9/09/2017,2,3066,2,2,6,909
Williamstown,h,1080000,SP,9/09/2017,6.8,3016,3,1,6,
Caulfield North,h,1835000,PI,16/09/2017,7.8,3161,4,3,6,
Clayton South,h,850000,S,16/09/2017,17.5,3169,3,1,6,591
Endeavour Hills,h,642000,S,16/09/2017,28.5,3802,4,2,6,
Roxburgh Park,h,380000,S,16/09/2017,20.6,3064,3,1,6,372
Sandringham,h,1915000,SP,16/09/2017,15.2,3191,4,2,6,563
Mooroolbark,h,840500,S,23/09/2017,26.5,3138,4,2,6,
Mordialloc,u,401000,S,23/09/2017,21.5,3195,2,1,6,
Box Hill,h,1900000,PI,26/08/2017,10.9,3128,5,3,6,613
Forest Hill,h,1065000,S,26/08/2017,15.4,3131,6,1,6,704
Hawthorn,h,2825000,S,26/08/2017,5.3,3122,6,5,6,
St Kilda,u,880000,S,26/08/2017,5,3182,2,1,6,
Keilor East,h,1150000,VB,7/10/2017,11.7,3033,4,2,6,682
Melton South,h,455000,SP,7/10/2017,29.8,3338,3,1,6,584
Watsonia North,h,806000,S,7/10/2017,14.5,3087,4,2,6,534
Altona Meadows,h,630000,SP,14/10/2017,15.5,3028,3,2,6,465
Bentleigh East,h,1940000,PI,21/10/2017,13.8,3165,6,3,6,
Hoppers Crossing,h,610000,PI,21/10/2017,18.4,3029,3,1,6,644
Hoppers Crossing,h,541000,S,21/10/2017,18.4,3029,3,1,6,568
Northcote,h,2295000,S,28/10/2017,5.3,3070,4,2,6,580
Nunawading,h,1200000,S,28/10/2017,15.4,3131,3,2,6,662
Point Cook,h,608000,S,28/10/2017,14.7,3030,3,2,6,384
Dandenong North,h,792000,S,11/11/2017,24.7,3175,3,2,6,769
Elsternwick,h,2800000,VB,11/11/2017,7.2,3185,4,3,6,
Reservoir,h,690000,S,11/11/2017,12,3073,3,1,6,460
Sunshine West,h,720000,S,11/11/2017,10.5,3020,6,3,6,560
Beaumaris,t,1500000,S,18/11/2017,17.3,3193,4,2,6,
Brighton East,t,2100000,VB,18/11/2017,10.3,3187,3,3,6,
Essendon West,h,1655000,S,18/11/2017,7.5,3040,4,2,6,809
Heathmont,h,971000,S,25/11/2017,21.3,3135,4,2,6,725
